SUBASSEMBLY_ID,SUPERASSEMBLY_ID
PDB-CPX-103451,PDB-CPX-103452
PDB-CPX-103474,PDB-CPX-103475
PDB-CPX-103494,PDB-CPX-103493
PDB-CPX-103554,PDB-CPX-103555
PDB-CPX-103561,PDB-CPX-103562
PDB-CPX-103561,PDB-CPX-103563
PDB-CPX-103561,PDB-CPX-103564
PDB-CPX-103561,PDB-CPX-103565
PDB-CPX-103561,PDB-CPX-103566
PDB-CPX-103561,PDB-CPX-103567
PDB-CPX-103561,PDB-CPX-103568
PDB-CPX-103561,PDB-CPX-103569
PDB-CPX-103561,PDB-CPX-103570
PDB-CPX-103561,PDB-CPX-103571
PDB-CPX-103561,PDB-CPX-103572
PDB-CPX-103561,PDB-CPX-103573
PDB-CPX-103561,PDB-CPX-103574
PDB-CPX-103561,PDB-CPX-103575
PDB-CPX-103561,PDB-CPX-103576
PDB-CPX-103561,PDB-CPX-103577
PDB-CPX-103561,PDB-CPX-103578
PDB-CPX-103561,PDB-CPX-103579
PDB-CPX-103561,PDB-CPX-103580
PDB-CPX-103646,PDB-CPX-103647
PDB-CPX-103705,PDB-CPX-103703
PDB-CPX-103705,PDB-CPX-103704
PDB-CPX-103721,PDB-CPX-103722
PDB-CPX-103721,PDB-CPX-103723
PDB-CPX-103723,PDB-CPX-103722
PDB-CPX-103728,PDB-CPX-103729
PDB-CPX-103742,PDB-CPX-103739
PDB-CPX-103742,PDB-CPX-103741
PDB-CPX-103761,PDB-CPX-103762
PDB-CPX-103812,PDB-CPX-103813
PDB-CPX-103839,PDB-CPX-103835
PDB-CPX-103839,PDB-CPX-103838
PDB-CPX-103842,PDB-CPX-103835
PDB-CPX-103842,PDB-CPX-103838
PDB-CPX-103842,PDB-CPX-103839
PDB-CPX-103843,PDB-CPX-103835
PDB-CPX-103843,PDB-CPX-103838
PDB-CPX-103843,PDB-CPX-103839
PDB-CPX-103847,PDB-CPX-103846
PDB-CPX-103849,PDB-CPX-103848
