"ID","METHOD_CLASS"
"4e84","x-ray"
"6jjz","x-ray"
"5ohn","x-ray"
"6iii","x-ray"
"6mh6","x-ray"
"1ohl","x-ray"
"6vcx","x-ray"
"3zjx","x-ray"
"2ggm","x-ray"
"5t4u","x-ray"
"1ev9","x-ray"
"4akt","x-ray"
"3bx7","x-ray"
"5d2b","x-ray"
"1yg4","nmr"
"5sxj","x-ray"
"5c7n","x-ray"
"4p55","x-ray"
"7lng","x-ray"
"4mcp","x-ray"
"1xi0","x-ray"
"2l2o","nmr"
"6rsm","nmr"
"3kyr","x-ray"
"3o2h","x-ray"
"5yw4","x-ray"
"7c4s","x-ray"
"3t0t","x-ray"
"4mo3","x-ray"
"2fgi","x-ray"
"6ngi","x-ray"
"2vna","x-ray"
"5ocw","x-ray"
"6nub","x-ray"
"5f00","x-ray"
"1j8l","x-ray"
"3vhx","x-ray"
"2hdl","nmr"
"3fbl","x-ray"
"1ue4","x-ray"
"3c15","x-ray"
"4pkx","x-ray"
"1bae","nmr"
"6g1m","x-ray"
"6xqg","x-ray"
"3fdw","x-ray"
"1u54","x-ray"
"1qk4","x-ray"
"1scl","nmr"
"5k4y","x-ray"
"4jbb","x-ray"
"3mau","x-ray"
"3ncx","x-ray"
"1ivv","x-ray"
"4n32","x-ray"
"3d6u","x-ray"
"1qum","x-ray"
"2b5a","x-ray"
"6mqc","x-ray"
"1ug1","nmr"
"3g81","x-ray"
"3o56","x-ray"
"5et3","x-ray"
"2mll","x-ray"
"4i09","x-ray"
"5fqk","x-ray"
"1jme","x-ray"
"6cql","x-ray"
"3vv8","x-ray"
"5z1z","x-ray"
"4mut","x-ray"
"6qv3","x-ray"
"1brg","x-ray"
"1fax","x-ray"
"2w2x","x-ray"
"1neh","nmr"
"2iku","x-ray"
"6xp3","x-ray"
"3ntn","x-ray"
"3nvg","x-ray"
"8akp","x-ray"
"5mt3","x-ray"
"7c6v","x-ray"
"4w6p","x-ray"
"6wz5","em"
"2myw","nmr"
"5esa","x-ray"
"2dvi","x-ray"
"7bh2","em"
"3m1q","x-ray"
"6zoa","x-ray"
"6ftk","nmr"
"1cyg","x-ray"
"3qav","x-ray"
"6u40","x-ray"
"2vj6","x-ray"
"3v42","x-ray"
"2g8q","x-ray"
"5ffc","x-ray"
"1keq","x-ray"
"6fln","x-ray"
"4odo","x-ray"
"2zug","x-ray"
"4l5l","x-ray"
"7q0h","x-ray"
"1xq4","x-ray"
"4b0r","x-ray"
"4lwo","x-ray"
"5dm5","x-ray"
"6q3f","x-ray"
"3j8h","em"
"2of2","x-ray"
"3rmc","x-ray"
"5x06","x-ray"
"4bxh","x-ray"
"5pse","x-ray"
"4zj8","x-ray"
"2a21","x-ray"
"329d","x-ray"
"7axk","x-ray"
"1k47","x-ray"
"3dwy","x-ray"
"5jmv","x-ray"
"6g67","x-ray"
"4fra","x-ray"
"2fta","x-ray"
"3f4w","x-ray"
"4ks3","x-ray"
"1bc7","x-ray"
"1nir","x-ray"
"6l0u","x-ray"
"2iln","x-ray"
"3ezk","em"
"2vcj","x-ray"
"8cw6","x-ray"
"5zdb","x-ray"
"7yzq","x-ray"
"2z0t","x-ray"
"4xzj","x-ray"
"3fni","x-ray"
"1e12","x-ray"
"2gdz","x-ray"
"3kds","x-ray"
"4zqk","x-ray"
"2vjq","x-ray"
"3k03","x-ray"
"1ade","x-ray"
"5vf3","em"
"6tz5","em"
"7kvj","x-ray"
"4cac","x-ray"
"6zaf","x-ray"
"7nzr","x-ray"
"3q17","x-ray"
"4tz6","x-ray"
"2oa6","x-ray"
"1ed5","x-ray"
"4lrh","x-ray"
"1xd3","x-ray"
"1uus","x-ray"
"1m7y","x-ray"
"2o6v","x-ray"
"5qil","x-ray"
"6yje","x-ray"
"1ysn","nmr"
"4pct","x-ray"
"6bsj","x-ray"
"7l2x","em"
"1xzb","x-ray"
"1yar","x-ray"
"7b8i","x-ray"
"1z2t","nmr"
"1sh9","x-ray"
"7nlp","x-ray"
"4r6a","x-ray"
"6jx3","x-ray"
"1yx1","x-ray"
"4khw","x-ray"
"6t3y","x-ray"
"3u4a","x-ray"
"5syd","x-ray"
"1g6n","x-ray"
"1wgw","nmr"
"7k4x","x-ray"
"7k31","x-ray"
"6ztw","x-ray"
"1hl3","x-ray"
"3ark","x-ray"
"7ch6","em"
"1kl4","x-ray"
"3qqb","x-ray"
"2f8g","x-ray"
"6kwx","em"
"6v5j","x-ray"
"1k12","x-ray"
"4gen","x-ray"
"4xsg","x-ray"
"5d16","x-ray"
"6b2a","x-ray"
"7d6w","x-ray"
"1q04","x-ray"
"1zhx","x-ray"
"2fkx","nmr"
"4ld8","x-ray"
"3o3u","x-ray"
"4poc","x-ray"
"4zf4","x-ray"
"6gq2","x-ray"
"6vlg","x-ray"
"4lw0","x-ray"
"4agm","x-ray"
"1bz8","x-ray"
"3bso","x-ray"
"2ato","x-ray"
"2x5j","x-ray"
"5phf","x-ray"
"5ojl","x-ray"
"7sun","em"
"5byd","x-ray"
"3hck","nmr"
"7bs1","x-ray"
"5hwi","x-ray"
"2ks9","nmr"
"3x1f","x-ray"
"4hd1","x-ray"
"2gmo","nmr"
"3inv","x-ray"
"5cmx","x-ray"
"2du2","x-ray"
"1fy1","x-ray"
"2a35","x-ray"
"7osd","nmr"
"4ocs","x-ray"
"6zb2","x-ray"
"2rpj","nmr"
"4uap","x-ray"
"5mgi","x-ray"
"1u9w","x-ray"
"6cbp","x-ray"
"5wf2","x-ray"
"3ia6","x-ray"
"2v0d","x-ray"
"2ld4","nmr"
"5qaa","x-ray"
"2w6h","x-ray"
"1sc3","x-ray"
"7mgl","em"
"3sep","x-ray"
"4py9","x-ray"
"3x0c","x-ray"
"3cqa","x-ray"
"4m15","x-ray"
"3fvp","x-ray"
"2oaf","x-ray"
"1tb7","x-ray"
"2yj7","x-ray"
"6vej","em"
"4x7g","x-ray"
"6nsk","em"
"4kdu","x-ray"
"3mic","x-ray"
"3m1f","x-ray"
"1gnz","x-ray"
"6xjf","x-ray"
"2ppi","x-ray"
"2it3","x-ray"
"5kt3","x-ray"
"6jue","x-ray"
"5a63","em"
"4tyv","x-ray"
"1jdz","x-ray"
"4pv4","x-ray"
"6yiq","x-ray"
"4bbj","x-ray"
"3qzg","x-ray"
"1k8g","x-ray"
"4bcu","x-ray"
"2zwu","x-ray"
"4m3x","x-ray"
"5y7d","x-ray"
"2by2","x-ray"
"1hks","nmr"
"1sqt","x-ray"
"1w82","x-ray"
"7n1x","em"
"1z9b","nmr"
"4ovh","x-ray"
"2o1x","x-ray"
"1iqy","x-ray"
"3dbo","x-ray"
"5qep","x-ray"
"6zc8","x-ray"
"7ope","em"
"1ql8","x-ray"
"6uz4","nmr"
"6x62","em"
"5a7x","em"
"1nes","x-ray"
"3zj1","nmr"
"2p03","nmr"
"5q4x","x-ray"
"1uvs","x-ray"
"3uu8","x-ray"
"6anp","x-ray"
"3h5j","x-ray"
"5rky","x-ray"
"1b9r","nmr"
"6fls","x-ray"
"1srv","x-ray"
"1ldl","nmr"
"3d89","x-ray"
"1ep6","x-ray"
"2ge5","x-ray"
"1kd9","x-ray"
"2nd9","nmr"
"2vu5","x-ray"
"5q02","x-ray"
"5fck","x-ray"
"5ggl","x-ray"
"6dez","x-ray"
"6sdl","x-ray"
"2oiy","x-ray"
"4lri","x-ray"
"2f87","nmr"
"6qhw","x-ray"
"4x5h","x-ray"
"7k3v","em"
"7k33","x-ray"
"1xj0","x-ray"
"7rio","x-ray"
"6puu","em"
"7ssl","em"
"3h9u","x-ray"
"2rga","x-ray"
"3gzg","x-ray"
"4jsl","x-ray"
"4ny7","x-ray"
"4ryy","x-ray"
"7n8t","x-ray"
"1e0s","x-ray"
"2qoe","x-ray"
"6xhn","x-ray"
"6dgy","x-ray"
"2qr7","x-ray"
"3j0o","em"
"5o2y","nmr"
"6ase","x-ray"
"5ok8","x-ray"
"5bt1","x-ray"
"6fhy","x-ray"
"2rjv","x-ray"
"5nj8","x-ray"
"6tu5","x-ray"
"4nea","x-ray"
"4fct","x-ray"
"4p00","x-ray"
"5c10","x-ray"
"2xdx","x-ray"
"4fye","x-ray"
"5d5w","x-ray"
"6vhg","x-ray"
"5ihl","x-ray"
"3o3k","x-ray"
"5x5f","em"
"3sks","x-ray"
"2h79","x-ray"
"2za7","x-ray"
"2bfp","x-ray"
"5ng1","x-ray"
"2wge","x-ray"
"1w1p","x-ray"
"7jmb","x-ray"
"5oao","nmr"
"7nab","x-ray"
"6psn","em"
"5say","x-ray"
"7eoo","x-ray"
"2rgi","x-ray"
"3tgn","x-ray"
"6qkx","x-ray"
"1xp3","x-ray"
"3sor","x-ray"
"1nm7","nmr"
"3a9x","x-ray"
"6s5h","x-ray"
"2c1y","x-ray"
"2bzl","x-ray"
"2wg9","x-ray"
"6dg3","x-ray"
"6dco","x-ray"
"3j08","em"
"2iy2","x-ray"
"1ot4","nmr"
"1rpm","x-ray"
"6dqj","em"
"1ucr","x-ray"
"5uc8","x-ray"
"4edz","x-ray"
"7orv","x-ray"
"7og3","x-ray"
"6iet","x-ray"
"6n7w","em"
"6k15","em"
"3c7w","x-ray"
"1ciw","x-ray"
"3ie0","x-ray"
"3aly","x-ray"
"5uv2","x-ray"
"4ddp","x-ray"
"1k9w","x-ray"
"6d2v","x-ray"
"1jma","x-ray"
"2qpq","x-ray"
"1vxf","x-ray"
"5yhv","x-ray"
"4cv4","x-ray"
"3td0","x-ray"
"5fr8","x-ray"
"5db7","x-ray"
"4kak","x-ray"
"2h9h","x-ray"
"6xz8","x-ray"
"1exf","x-ray"
"4h3u","x-ray"
"4izj","x-ray"
"6snp","x-ray"
"3afk","x-ray"
"6gg8","x-ray"
"5zrv","em"
"7o1n","x-ray"
"6ggj","x-ray"
"1w1m","x-ray"
"7ly2","em"
"3o6c","x-ray"
"1xyq","nmr"
"2a7i","x-ray"
"5c93","x-ray"
"5o3s","x-ray"
"7bhr","x-ray"
"3nbn","x-ray"
"3f1v","x-ray"
"1evu","x-ray"
"1elz","x-ray"
"3dqj","x-ray"
"4ype","x-ray"
"2lfh","nmr"
"3bta","x-ray"
"5r4s","x-ray"
"5fi5","x-ray"
"6z18","x-ray"
"5z97","x-ray"
"7lpx","x-ray"
"1qdr","x-ray"
"3ncr","x-ray"
"1iwe","x-ray"
"1u6e","x-ray"
"5w8m","x-ray"
"2x9a","x-ray"
"1psp","x-ray"
"3tsj","x-ray"
"7b0t","x-ray"
"3p5h","x-ray"
"6x9m","x-ray"
"5eoz","x-ray"
"6lxp","x-ray"
"5lqn","x-ray"
"1juo","x-ray"
"4al1","x-ray"
"5id0","x-ray"
"5cgb","x-ray"
"7btb","em"
"3q8a","x-ray"
"6gtm","x-ray"
"2vbd","x-ray"
"4xmp","x-ray"
"2i0r","x-ray"
"4z7x","x-ray"
"5ibp","x-ray"
"6apo","x-ray"
"6ypc","x-ray"
"2ics","x-ray"
"4gqw","x-ray"
"5p89","x-ray"
"3tec","x-ray"
"4g7h","x-ray"
"6qxq","x-ray"
"3u2c","x-ray"
"7jxu","x-ray"
"6bhy","x-ray"
"5vzi","x-ray"
"4n1a","x-ray"
"1utj","x-ray"
"1kxb","x-ray"
"2rs9","nmr"
"3uf9","x-ray"
"1wev","nmr"
"3d5g","x-ray"
"3cjn","x-ray"
"5xxq","x-ray"
"7m3l","em"
"4egu","x-ray"
"6q12","x-ray"
"1rmo","x-ray"
"5oeu","x-ray"
"1ba8","x-ray"
"1c51","x-ray"
"1s5s","x-ray"
"2ii8","x-ray"
"1p54","x-ray"
"7b7v","x-ray"
"5lwr","x-ray"
"7l1k","em"
"3abq","x-ray"
"7kzc","x-ray"
"6kfy","x-ray"
"1wja","nmr"
"4hqh","x-ray"
"2ehz","x-ray"
"3vfl","x-ray"
"6nng","x-ray"
"6cnj","em"
"6a68","x-ray"
"4h38","x-ray"
"2d2m","x-ray"
"4k8o","x-ray"
"4aza","x-ray"
"2bg1","x-ray"
"1f3u","x-ray"
"6xun","x-ray"
"5mtr","x-ray"
"5qpl","x-ray"
"6tky","x-ray"
"1d8b","nmr"
"7tn0","x-ray"
"2wr5","x-ray"
"3cdm","x-ray"
"1c1j","x-ray"
"4zcw","x-ray"
"5qk4","x-ray"
"5wby","x-ray"
"3asd","x-ray"
"2juu","nmr"
"5svf","x-ray"
"4ezj","x-ray"
"7mk0","x-ray"
"6xb1","x-ray"
"6grc","x-ray"
"5u25","x-ray"
"3clh","x-ray"
"4cmm","x-ray"
"5lfr","x-ray"
"2bs7","x-ray"
"1hqp","x-ray"
"6jvm","x-ray"
"1lmp","x-ray"
"2ay1","x-ray"
"6xg1","x-ray"
"4dm9","x-ray"
"2noo","x-ray"
"7sla","em"
"2dt8","x-ray"
"7a9l","x-ray"
"4pmv","x-ray"
"6yrf","em"
"6fpf","x-ray"
"5y4j","x-ray"
"1zch","x-ray"
"2q2i","x-ray"
"3ega","x-ray"
"1b13","x-ray"
"6tly","x-ray"
"5f5f","x-ray"
"4yy3","x-ray"
"1dan","x-ray"
"6q4w","x-ray"
"6sqg","x-ray"
"3lyo","x-ray"
"7od0","x-ray"
"4bsw","x-ray"
"2c1n","x-ray"
"7bkb","em"
"4a5q","em"
"2iip","x-ray"
"6pv0","nmr"
"4ugo","x-ray"
"7lsu","x-ray"
"1tj7","x-ray"
"4qz4","x-ray"
"6m9m","x-ray"
"7p16","em"
"5iw7","x-ray"
"8atc","x-ray"
"3q94","x-ray"
"6l6h","x-ray"
"4bxk","x-ray"
"5rjk","x-ray"
"4dbs","x-ray"
"1a9w","x-ray"
"5p3x","x-ray"
"6d27","x-ray"
"6o69","x-ray"
"2vo3","x-ray"
"6gp6","x-ray"
"2jyj","nmr"
"6ewy","x-ray"
"6dax","x-ray"
"3lfz","x-ray"
"5cqm","x-ray"
"1v5w","x-ray"
"6l3a","x-ray"
"1bam","x-ray"
"4pey","x-ray"
"7abe","x-ray"
"3qrn","x-ray"
"3gxl","x-ray"
"6e9l","x-ray"
"6uvi","x-ray"
"6ee4","x-ray"
"2hqp","nmr"
"6j58","x-ray"
"3it2","x-ray"
"5k6n","x-ray"
"3g0q","x-ray"
"6vaf","em"
"2wwt","x-ray"
"6j6q","em"
"7ktn","x-ray"
"5bjw","x-ray"
"3g1d","x-ray"
"1grn","x-ray"
"4qye","x-ray"
"1s5m","x-ray"
"3nlc","x-ray"
"4f3m","x-ray"
"4yck","x-ray"
"5ao4","x-ray"
"3ef7","x-ray"
"7ccl","x-ray"
"1k96","x-ray"
"6jkb","x-ray"
"2xwa","x-ray"
"1a0t","x-ray"
"4c0e","x-ray"
"6dej","x-ray"
"5wi9","x-ray"
"5r9r","x-ray"
"4asg","x-ray"
"3v9f","x-ray"
"2vqq","x-ray"
"6tc5","x-ray"
"6dzb","nmr"
"4lau","x-ray"
"1ljp","x-ray"
"6d0e","x-ray"
"4w9b","x-ray"
"2exe","x-ray"
"3uve","x-ray"
"6rz3","x-ray"
"5yev","x-ray"
"6q32","x-ray"
"6dw2","x-ray"
"3gaa","x-ray"
"3pjj","x-ray"
"6mu6","x-ray"
"6wdo","em"
"4oq4","x-ray"
"4lal","x-ray"
"3ca7","x-ray"
"6joz","x-ray"
"5gam","em"
"5kij","x-ray"
"6veq","x-ray"
"6kwu","x-ray"
"5c2h","x-ray"
"5ft3","x-ray"
"5l0e","x-ray"
"2wau","x-ray"
"6wjy","x-ray"
"6fxe","x-ray"
"1acd","x-ray"
"1svm","x-ray"
"6tlu","x-ray"
"3p9m","x-ray"
"5wsa","x-ray"
"6r4c","x-ray"
"1lf6","x-ray"
"6xs4","x-ray"
"4mov","x-ray"
"1il5","x-ray"
"6hrp","x-ray"
"6rtx","x-ray"
"3gds","x-ray"
"2byy","x-ray"
"6tfr","x-ray"
"4wf9","x-ray"
"1qal","x-ray"
"7ews","x-ray"
"3tpr","x-ray"
"6ej4","x-ray"
"2erp","x-ray"
"6qbo","x-ray"
"2lj3","nmr"
"5sl1","x-ray"
"2e1m","x-ray"
"1y7w","x-ray"
"4f7f","x-ray"
"5r20","x-ray"
"5p82","x-ray"
"2dnn","nmr"
"6wwx","x-ray"
"4ial","x-ray"
"6mr5","x-ray"
"5wei","x-ray"
"1xyj","nmr"
"1lwy","x-ray"
"5ho8","x-ray"
"5mvh","x-ray"
"1j16","x-ray"
"4zk9","x-ray"
"7kdj","em"
"4jh9","x-ray"
"4ac2","x-ray"
"6l7q","x-ray"
"1qyk","x-ray"
"1cvw","x-ray"
"2ull","x-ray"
"5qmw","x-ray"
"5az1","x-ray"
"4ye3","x-ray"
"1ajz","x-ray"
"3cev","x-ray"
"2x38","x-ray"
"3l40","x-ray"
"7nst","em"
"3h83","x-ray"
"1p6c","x-ray"
"5t0g","em"
"6rms","hybrid"
"1eo2","x-ray"
"3a7m","x-ray"
"3b7p","x-ray"
"6sat","x-ray"
"1s9u","x-ray"
"6nnb","nmr"
"7erp","x-ray"
"6n56","x-ray"
"1vyo","x-ray"
"5a6v","x-ray"
"6r3d","x-ray"
"5i65","nmr"
"3pv3","x-ray"
"7r4t","em"
"5mia","x-ray"
"1mqs","x-ray"
"1nwh","x-ray"
"1bq0","nmr"
"3mba","x-ray"
"3sg3","x-ray"
"6l6z","em"
"4q3l","x-ray"
"4xlw","x-ray"
"5wm0","x-ray"
"7ehh","x-ray"
"6m1u","x-ray"
"1qpw","x-ray"
"1yi8","x-ray"
"4g7r","x-ray"
"7ory","x-ray"
"4pz2","x-ray"
"1zmc","x-ray"
"6co2","x-ray"
"6w9q","x-ray"
"6n9r","x-ray"
"3coh","x-ray"
"3cv8","x-ray"
"3hbc","x-ray"
"5j68","x-ray"
"6eez","x-ray"
"7d8h","x-ray"
"4l0i","x-ray"
"3nfi","x-ray"
"6z4m","x-ray"
"5ods","x-ray"
"5m97","x-ray"
"3dj9","x-ray"
"6t6w","x-ray"
"2d9e","nmr"
"1ky7","x-ray"
"7nkk","em"
"2bzf","x-ray"
"5v1f","x-ray"
"5ns8","x-ray"
"1ynj","x-ray"
"1knw","x-ray"
"3pi4","x-ray"
"7el1","x-ray"
"5f7b","x-ray"
"6xca","x-ray"
"2a3e","x-ray"
"6wnh","x-ray"
"1px0","x-ray"
"2lis","x-ray"
"7ncb","x-ray"
"1iib","x-ray"
"1dk4","x-ray"
"2bxc","x-ray"
"1zah","x-ray"
"4cpw","x-ray"
"6t50","x-ray"
"3mgk","x-ray"
"7jti","em"
"5xbz","x-ray"
"2np7","x-ray"
"5ck1","x-ray"
"5cfa","x-ray"
"3t4m","x-ray"
"4zdx","x-ray"
"4zer","x-ray"
"1swg","x-ray"
"6sbj","x-ray"
"6t3u","x-ray"
"2d9j","nmr"
"5m0y","x-ray"
"2lpe","nmr"
"2z1w","x-ray"
"4a0m","x-ray"
"6hwz","x-ray"
"6m4p","x-ray"
"5cbl","x-ray"
"5iiy","x-ray"
"3tnx","x-ray"
"5mcf","x-ray"
"3u0d","x-ray"
"5cgd","x-ray"
"3cbc","x-ray"
"1t56","x-ray"
"1fhr","nmr"
"2wto","x-ray"
"5cte","x-ray"
"1fwb","x-ray"
"6y3d","x-ray"
"5ofr","x-ray"
"7tyw","em"
"5q24","x-ray"
"5kav","x-ray"
"6beu","nmr"
"5vov","em"
"3ofv","x-ray"
"6p6i","em"
"5uwv","x-ray"
"6hvs","x-ray"
"6rsy","x-ray"
"3rgu","x-ray"
"4hdg","x-ray"
"3cyy","x-ray"
"5ect","x-ray"
"6d8v","x-ray"
"3bic","x-ray"
"4a8z","x-ray"
"6rzq","x-ray"
"2dym","x-ray"
"6vpr","x-ray"
"6xr0","x-ray"
"2atv","x-ray"
"3pcz","x-ray"
"6qxz","nmr"
"6p2f","x-ray"
"1n2f","x-ray"
"3v5p","x-ray"
"4b1e","x-ray"
"2vh0","x-ray"
"7wbl","em"
"4ig7","x-ray"
"1v5o","nmr"
"5zmc","x-ray"
"2fch","x-ray"
"1e58","x-ray"
"2zbi","x-ray"
"7a1z","x-ray"
"6l1h","x-ray"
"5pq9","x-ray"
"5lu0","x-ray"
"5y7t","x-ray"
"5a6k","x-ray"
"5ox1","x-ray"
"3ox5","x-ray"
"7reu","x-ray"
"1ind","x-ray"
"6az3","em"
"6fqq","x-ray"
"3cjg","x-ray"
"4b08","x-ray"
"6nj6","x-ray"
"1zkk","x-ray"
"5wsr","x-ray"
"2ad1","x-ray"
"4hqc","x-ray"
"7rul","nmr"
"3e8h","x-ray"
"1mmv","x-ray"
"3ocd","x-ray"
"4cbr","x-ray"
"1vtf","x-ray"
"3e17","x-ray"
"2pta","nmr"
"6ruq","x-ray"
"6si4","x-ray"
"3vz1","x-ray"
"2lzf","nmr"
"5rsv","x-ray"
"5n77","x-ray"
"6tdg","x-ray"
"4rto","x-ray"
"6kuj","em"
"5na6","x-ray"
"4ktk","x-ray"
"5cmz","x-ray"
"5hni","x-ray"
"214d","nmr"
"1x5i","nmr"
"4o0o","x-ray"
"2vyt","x-ray"
"1cbw","x-ray"
"5cdl","x-ray"
"6pxb","x-ray"
"7n1t","em"
"2cv2","x-ray"
"7kcq","em"
"1oqp","nmr"
"7n0x","x-ray"
"6swx","x-ray"
"6pnj","em"
"2v1g","x-ray"
"4mwo","x-ray"
"6lkv","x-ray"
"6pk6","x-ray"
"5tmf","x-ray"
"2isk","x-ray"
"5mkk","x-ray"
"4ws2","x-ray"
"6e9g","x-ray"
"1nez","x-ray"
"1b9k","x-ray"
"5js1","x-ray"
"3aj7","x-ray"
"6b8y","x-ray"
"4et7","x-ray"
"1z3p","x-ray"
"3kxc","x-ray"
"2htk","x-ray"
"6jwx","x-ray"
"3k6i","x-ray"
"3wl8","x-ray"
"7lpw","x-ray"
"1dxr","x-ray"
"2xjd","x-ray"
"3nnx","x-ray"
"1reo","x-ray"
"4djs","x-ray"
"2x9g","x-ray"
"1ux4","x-ray"
"3u4z","x-ray"
"3fzg","x-ray"
"2aej","x-ray"
"4cud","x-ray"
"6ls5","x-ray"
"1vcw","x-ray"
"7n6q","em"
"2f8p","x-ray"
"3vdm","x-ray"
"5ufh","x-ray"
"4qcd","hybrid"
"4cz7","x-ray"
"2ijx","x-ray"
"3rs6","x-ray"
"5dut","x-ray"
"5cy1","x-ray"
"5u3u","x-ray"
"4lds","x-ray"
"3wi3","x-ray"
"1pd5","x-ray"
"3r94","x-ray"
"1l1o","x-ray"
"1gat","nmr"
"2fkw","x-ray"
"3ho2","x-ray"
"5et2","x-ray"
"4m2x","x-ray"
"5kn7","x-ray"
"6bst","x-ray"
"4kn4","x-ray"
"3hdi","x-ray"
"4g1j","x-ray"
"7jy8","em"
"3hyh","x-ray"
"7p07","x-ray"
"6op3","x-ray"
"3cz8","x-ray"
"4pot","x-ray"
"3t8h","x-ray"
"2xs3","x-ray"
"5vw6","x-ray"
"5fzz","x-ray"
"3zl4","x-ray"
"1zvx","x-ray"
"5wek","em"
"4idm","x-ray"
"6uy8","x-ray"
"1pj9","x-ray"
"7tgw","em"
"2rhp","x-ray"
"4p1l","x-ray"
"6qaa","x-ray"
"1qxr","x-ray"
"6vls","x-ray"
"7m0v","x-ray"
"1yau","x-ray"
"4ls0","x-ray"
"7bme","x-ray"
"6t2w","x-ray"
"7osv","x-ray"
"2ate","x-ray"
"3spa","x-ray"
"6gw7","nmr"
"1e1p","nmr"
"3pte","x-ray"
"3otr","x-ray"
"1qpc","x-ray"
"2rsw","nmr"
"1fsa","x-ray"
"3svg","x-ray"
"6bih","em"
"4s38","x-ray"
"3kmr","x-ray"
"2oy4","x-ray"
"5nui","x-ray"
"1h58","x-ray"
"5xh2","x-ray"
"2d1y","x-ray"
"5bmx","x-ray"
"1iyn","x-ray"
"3hy3","x-ray"
"3fpx","x-ray"
"1pjs","x-ray"
"3o7j","x-ray"
"3i3z","x-ray"
"6vxr","x-ray"
"1jza","x-ray"
"6eto","x-ray"
"2qyi","x-ray"
"6dh1","x-ray"
"4wmk","x-ray"
"1hyn","x-ray"
"6ie0","x-ray"
"3kpl","x-ray"
"4fne","x-ray"
"1nyb","nmr"
"4mgs","x-ray"
"5kf6","x-ray"
"5mbt","x-ray"
"4f7w","x-ray"
"4zfa","x-ray"
"5kwr","x-ray"
"5h1u","x-ray"
"3pyl","x-ray"
"6b2m","x-ray"
"2xco","x-ray"
"3cl4","x-ray"
"6k9t","x-ray"
"1rje","x-ray"
"2qh1","x-ray"
"2dl4","nmr"
"4emp","x-ray"
"5kvl","x-ray"
"3s0a","x-ray"
"4muf","x-ray"
"6ywx","em"
"1d1s","x-ray"
"4lvo","x-ray"
"5z58","em"
"1yaf","x-ray"
"5tt8","x-ray"
"2j5r","x-ray"
"6uom","x-ray"
"6c9s","x-ray"
"2bnj","x-ray"
"7ao4","x-ray"
"3fyu","x-ray"
"4jl2","x-ray"
"1e4f","x-ray"
"2qw7","x-ray"
"5iqe","x-ray"
"4k8a","x-ray"
"1vc3","x-ray"
"3gkv","x-ray"
"2as4","x-ray"
"7ewk","em"
"3exd","x-ray"
"5t4d","em"
"3f3z","x-ray"
"2o0o","x-ray"
"4uzn","x-ray"
"1gff","x-ray"
"3alz","x-ray"
"2mex","nmr"
"5j7m","x-ray"
"4cm0","x-ray"
"5yay","x-ray"
"1jd0","x-ray"
"2o1j","x-ray"
"4hzl","x-ray"
"1udq","x-ray"
"6z3k","x-ray"
"4duh","x-ray"
"5ayq","x-ray"
"3e5b","x-ray"
"5qcz","x-ray"
"4z0m","x-ray"
"1l2b","x-ray"
"7c67","x-ray"
"4xhv","x-ray"
"2ok4","x-ray"
"6ugo","x-ray"
"6v2l","x-ray"
"6ud5","x-ray"
"2jep","x-ray"
"2p9s","x-ray"
"6dag","x-ray"
"5gph","nmr"
"3g0f","x-ray"
"6r8y","em"
"1k7b","nmr"
"6tct","x-ray"
"6g0w","x-ray"
"5lq1","x-ray"
"5nok","x-ray"
"6mx5","x-ray"
"4dxa","x-ray"
"1s6f","x-ray"
"7fit","x-ray"
"3l45","hybrid"
"6ip6","em"
"142l","x-ray"
"3zok","x-ray"
"2vor","x-ray"
"5ide","em"
"3qeq","x-ray"
"1c5h","x-ray"
"6buu","x-ray"
"4n6q","x-ray"
"1p68","nmr"
"5c1e","x-ray"
"1p6l","x-ray"
"2jcw","x-ray"
"4c81","x-ray"
"4g74","x-ray"
"3p6n","x-ray"
"5qns","x-ray"
"3rj1","x-ray"
"5x2x","x-ray"
"6q39","x-ray"
"1r5m","x-ray"
"1n0o","nmr"
"2ih9","x-ray"
"6mqv","x-ray"
"3s9h","x-ray"
"6t3g","x-ray"
"3wkz","x-ray"
"4w8p","x-ray"
"6aoz","x-ray"
"5ewv","x-ray"
"219d","nmr"
"6kbj","x-ray"
"1zqc","x-ray"
"5l5h","x-ray"
"6xla","em"
"4o23","x-ray"
"5fww","x-ray"
"7q9g","em"
"5c0s","x-ray"
"6c05","em"
"1f6b","x-ray"
"6qd0","em"
"1uxw","x-ray"
"5duh","x-ray"
"4aqs","x-ray"
"4aqt","x-ray"
"5kmq","x-ray"
"1zv4","x-ray"
"3n80","x-ray"
"4mxl","x-ray"
"5fv7","x-ray"
"4f5l","x-ray"
"5i4d","x-ray"
"3jbu","em"
"6q9v","x-ray"
"2dwx","x-ray"
"2e65","x-ray"
"1fq7","x-ray"
"2jdu","x-ray"
"5ehe","x-ray"
"3pcj","x-ray"
"6d8i","x-ray"
"6zh4","em"
"3nx1","x-ray"
"7sp5","x-ray"
"5hwn","x-ray"
"7o5p","x-ray"
"7jmh","em"
"4go9","x-ray"
"2ekp","x-ray"
"4d3u","x-ray"
"4jc8","x-ray"
"7tla","em"
"4llv","x-ray"
"3qer","x-ray"
"3wdd","x-ray"
"6t7f","x-ray"
"3hne","x-ray"
"2g2p","x-ray"
"6onp","x-ray"
"7lql","x-ray"
"2vux","x-ray"
