"ID","METHOD_CLASS"
"3uqa","x-ray"
"7rsf","x-ray"
"2d07","x-ray"
"7oec","x-ray"
"6nen","x-ray"
"3e6h","x-ray"
"3ws2","x-ray"
"2vfl","x-ray"
"1w7z","x-ray"
"4c8b","x-ray"
"2mkm","nmr"
"5hgg","x-ray"
"6ptf","x-ray"
"7exv","x-ray"
"1jqi","x-ray"
"6lqr","em"
"6loj","x-ray"
"4hqv","x-ray"
"5ujr","nmr"
"6ckr","x-ray"
"6wf2","x-ray"
"2gpu","x-ray"
"5dxk","x-ray"
"1xkv","x-ray"
"7sxd","nmr"
"5huj","x-ray"
"4kep","x-ray"
"6vjx","x-ray"
"7npm","x-ray"
"2ax0","x-ray"
"6bwu","x-ray"
"4m23","x-ray"
"7mcf","x-ray"
"3t3s","x-ray"
"3of1","x-ray"
"5g54","x-ray"
"4ibq","x-ray"
"5w8o","x-ray"
"5fwv","x-ray"
"6gtp","x-ray"
"6r58","x-ray"
"4npo","x-ray"
"6v4x","em"
"7q8y","x-ray"
"1an9","x-ray"
"5uj2","x-ray"
"2vtb","x-ray"
"2gjd","x-ray"
"2dtu","x-ray"
"4wpf","x-ray"
"3vcd","x-ray"
"1zvo","sas"
"6y6f","x-ray"
"1m93","x-ray"
"4nc3","x-ray"
"5l63","x-ray"
"4rm2","x-ray"
"4f36","x-ray"
"6y5a","em"
"2bzj","x-ray"
"5swf","x-ray"
"5jf4","x-ray"
"6oyr","x-ray"
"1u2k","x-ray"
"1xa3","x-ray"
"3o95","x-ray"
"1l5k","x-ray"
"5mrb","x-ray"
"3n01","x-ray"
"6cyu","x-ray"
"1sci","x-ray"
"1hl5","x-ray"
"2kir","nmr"
"6k16","x-ray"
"6dxs","x-ray"
"1xx3","nmr"
"1tzn","x-ray"
"5clj","x-ray"
"1fbw","x-ray"
"2oaw","x-ray"
"4p7l","x-ray"
"4ix0","x-ray"
"5d26","x-ray"
"2oe3","x-ray"
"4f0e","x-ray"
"1pgc","nmr"
"4rmv","x-ray"
"4tqx","x-ray"
"3skh","x-ray"
"4p1t","x-ray"
"5ykz","x-ray"
"5iv1","nmr"
"3tdh","x-ray"
"1m2z","x-ray"
"1z97","x-ray"
"3cs8","x-ray"
"1ha6","nmr"
"2kn0","nmr"
"2zfx","x-ray"
"7ebr","em"
"5oqu","x-ray"
"6wl0","em"
"7brd","x-ray"
"2dey","x-ray"
"4qaz","x-ray"
"1sbt","x-ray"
"3pbf","x-ray"
"2oc2","x-ray"
"3dzt","x-ray"
"4fkk","x-ray"
"4u0o","x-ray"
"5wa0","x-ray"
"6fx6","x-ray"
"3cgo","x-ray"
"3ruf","x-ray"
"2l6x","nmr"
"4dkd","x-ray"
"5avh","x-ray"
"3fii","x-ray"
"5up7","x-ray"
"6vxt","x-ray"
"5qah","x-ray"
"1wip","x-ray"
"3o1s","x-ray"
"7lyt","em"
"4w9j","x-ray"
"1mko","x-ray"
"4dca","x-ray"
"6oq6","x-ray"
"4fgc","x-ray"
"5qcn","x-ray"
"5oix","x-ray"
"6ps8","x-ray"
"7oxy","x-ray"
"1uzy","x-ray"
"5onz","x-ray"
"5v5y","x-ray"
"6s1j","x-ray"
"5eqe","x-ray"
"4m1s","x-ray"
"6gm4","x-ray"
"1pu2","x-ray"
"2pbj","x-ray"
"1y1v","x-ray"
"7s64","em"
"2imm","x-ray"
"4atg","x-ray"
"3clv","x-ray"
"3b8y","x-ray"
"2nt4","x-ray"
"2mof","nmr"
"7ql4","em"
"4dm1","x-ray"
"4k4w","x-ray"
"6c5f","x-ray"
"7bvg","em"
"4bqk","x-ray"
"6jvc","x-ray"
"5j7u","x-ray"
"4yvg","x-ray"
"1ewz","x-ray"
"6rv1","x-ray"
"6xwe","x-ray"
"1tcb","x-ray"
"5kfl","x-ray"
"1a1t","nmr"
"1t5r","x-ray"
"2cvx","x-ray"
"2cn4","x-ray"
"4loe","x-ray"
"5d2u","x-ray"
"4il3","x-ray"
"6m4x","x-ray"
"4hvq","x-ray"
"6d84","em"
"7f7f","em"
"6cw4","nmr"
"2xln","x-ray"
"1xo1","x-ray"
"1idp","x-ray"
"5s81","x-ray"
"7rk0","x-ray"
"2lsk","nmr"
"5iky","x-ray"
"2pa2","x-ray"
"3n7m","x-ray"
"4wex","x-ray"
"2xls","x-ray"
"2h06","x-ray"
"7arr","x-ray"
"6sir","x-ray"
"4yfk","x-ray"
"3w8n","x-ray"
"6qev","x-ray"
"1u0q","x-ray"
"6ekn","x-ray"
"5kp4","x-ray"
"2zu2","x-ray"
"3o4d","x-ray"
"6ki8","x-ray"
"3d7v","x-ray"
"6dpy","x-ray"
"3kuw","x-ray"
"2vqd","x-ray"
